row_id,category,metric,case,mecanum_4_motor,differential_4_motor,differential_2_motor,unit,status,boundary
DRV-001,resources,drive motor ports,architecture,4.0000,4.0000,2.0000,count,CALCULATED,Only the 2-motor differential architecture releases ports
DRV-002,resources,ports released versus baseline,architecture,0.0000,0.0000,2.0000,count,CALCULATED,R503 whole-robot limit remains 8
DRV-003,resources,drive-motor mass,motors only,1.7480,1.7480,0.8740,kg,CALCULATED_FROM_KNOWN_VENDOR,"Excludes chain/belt, sprockets, tensioners, guards, and wheel change"
DRV-004,motor,ideal maximum mechanical power,motor shafts,77.8592,77.8592,38.9296,W,CALCULATED_LINEAR_MOTOR_MODEL,Before wheel/transmission losses and thermal limits
DRV-005,motor,ideal stall force,104 mm direct wheel,183.3089,183.3089,91.6545,N,CALCULATED_LINEAR_MOTOR_MODEL,Not a permitted continuous operating point; tire traction may cap lower
DRV-006,motor,force at ideal maximum-power point,104 mm direct wheel,91.6545,91.6545,45.8272,N,CALCULATED_LINEAR_MOTOR_MODEL,At one-half no-load wheel speed
DRV-007,motor,no-load vehicle speed,104 mm direct wheel,1.6990,1.6990,1.6990,m/s,CALCULATED,Real speed lower
DRV-008,electrical,aggregate no-load current,12 V,1.0000,1.0000,0.5000,A,CALCULATED_FROM_KNOWN_VENDOR,Two motors save 0.5 A only near no load
DRV-009,mass,gross mass reduction,2 motors removed,0.0000,0.0000,0.8740,kg,CALCULATED_LOWER_BOUND,Before adding a cross-drive transmission
DRV-010,mass,gross mass reduction,2 motors removed + four reference 96 mm traction wheels,0.0000,0.6160,1.4900,kg,CALCULATED_REFERENCE_ONLY,Not net savings; 96 mm wheel and transmission are not selected
DRV-011,speed,no-load speed with reference 96 mm wheel,312 rpm direct wheel,1.6990,1.5683,1.5683,m/s,CALCULATED_REFERENCE_ONLY,Wheel swap reduces nominal speed 7.69 percent
DRV-012,operating_point,electrical power at equal force and speed,"20 N at 1.0 m/s, ideal 104 mm wheel",41.5582,41.5582,42.9345,W,CALCULATED_LINEAR_MOTOR_MODEL,Excludes external drivetrain losses; required voltage must not exceed 12 V
