claim_id,category,metric,c06_a_single_flywheel_hood,c06_b_opposed_dual_flywheel,unit,status,derivation_or_boundary
CMP-001,kinematics,ideal required surface speed,11.1113,5.5557,m/s,CALCULATED_IDEAL,A: u=2v; B: u1=u2=v
CMP-002,kinematics,ideal 120 mm wheel speed,1768.4230,884.2115,rpm,CALCULATED_IDEAL,60u/(pi*d_wheel)
CMP-003,kinematics,ideal POLLEN spin magnitude,156.4976,0.0000,rad/s,CALCULATED_IDEAL,omega=(u1-u2)/(2r); excludes slip and deformation
CMP-004,diameter,fixed-gap compression change from 71 to 91 mm,20.0000,20.0000,mm,CALCULATED_NOMINAL,compression=D-gap; fixed gap changes compression by delta-D
CMP-005,diameter,exit-center shift with one-sided/symmetric gap adjustment,10.0000,0.0000,mm,CALCULATED_LOCAL_GEOMETRY,A fixed-wheel/moving-hood center shifts delta-D/2; B symmetric surfaces preserve center
CMP-006,resources,whole-robot motor count,7.0000,8.0000,count,CALCULATED_FROM_ASSUMED_ARCHITECTURE,4 drive + 1 intake + 1 transfer + launcher motors
CMP-007,resources,remaining legal motor ports,1.0000,0.0000,count,CALCULATED,R503 limit 8 minus CMP-006
CMP-008,resources,minimum launcher motor mass delta B minus A,0.0000,0.3960,kg,KNOWN_VENDOR_LOWER_BOUND,one additional 5203-2402-0003; excludes mounts/wheel/wiring
CMP-009,resources,additional no-load current B minus A,0.0000,0.2500,A,KNOWN_VENDOR_LOWER_BOUND,one additional motor at 12 V; loaded current is TBD_MEASURE
CMP-010,fault,additional single-motor stall-current exposure B minus A,0.0000,9.2000,A,KNOWN_VENDOR_FAULT_BOUND,not an allowable operating point
FLW-001,flower_shared_intake,top opening radial clearance for POLLEN,0.0153,0.0153,m,CALCULATED_NOMINAL,nominal only
FLW-002,flower_shared_intake,top opening radial clearance for NECTAR,0.0053,0.0053,m,CALCULATED_NOMINAL,nominal only; variation makes centering mandatory
FLW-003,flower_shared_intake,bottom retrieval vertical clearance for POLLEN,0.0190,0.0190,m,CALCULATED_NOMINAL,nominal only
FLW-004,flower_shared_intake,bottom retrieval depth minus POLLEN diameter,0.0200,0.0200,m,CALCULATED_NOMINAL,nominal only
FLW-005,flower_shared_intake,operating-height headroom above top ring,0.1905,0.1905,m,CALCULATED_NOMINAL,proves nominal vertical reach is not excluded
FLW-006,flower_shared_intake,operating-height headroom above backstop top,0.1590,0.1590,m,CALCULATED_NOMINAL,structure/ball still must fit
FLW-007,flower_shared_intake,minimum rise from starting-height plane to top ring,0.0890,0.0890,m,CALCULATED_NOMINAL,top placement requires deployment
FLW-008,flower_shared_intake,minimum rise from starting-height plane to NECTAR center above ring,0.1345,0.1345,m,CALCULATED_NOMINAL,"kinematic lower bound, not mechanism stroke"
